Time,ECG
2022-07-08 17:01:29.876170,10228
2022-07-08 17:01:29.878737,11443
2022-07-08 17:01:29.880493,12222
2022-07-08 17:01:29.882072,11799
2022-07-08 17:01:29.883636,10548
2022-07-08 17:01:29.885200,10026
2022-07-08 17:01:29.886760,10502
2022-07-08 17:01:29.888193,10801
2022-07-08 17:01:29.889620,10808
2022-07-08 17:01:29.891302,10992
2022-07-08 17:01:29.892700,11171
2022-07-08 17:01:29.894048,11234
2022-07-08 17:01:29.895401,11298
2022-07-08 17:01:29.896746,11395
2022-07-08 17:01:29.898089,11538
2022-07-08 17:01:29.899427,11651
2022-07-08 17:01:29.900829,11712
2022-07-08 17:01:29.902211,11776
2022-07-08 17:01:29.903771,11799
2022-07-08 17:01:29.905247,11830
2022-07-08 17:01:29.906708,11944
2022-07-08 17:01:29.908180,12043
2022-07-08 17:01:29.909636,12084
2022-07-08 17:01:29.912417,12098
2022-07-08 17:01:29.915312,12086
2022-07-08 17:01:29.917417,12120
2022-07-08 17:01:29.918914,12227
2022-07-08 17:01:29.920283,12322
2022-07-08 17:01:29.921636,12352
2022-07-08 17:01:29.923110,12333
2022-07-08 17:01:30.055668,12297
2022-07-08 17:01:30.058144,12295
2022-07-08 17:01:30.060209,12352
2022-07-08 17:01:30.061920,12401
2022-07-08 17:01:30.063631,12363
2022-07-08 17:01:30.065332,12173
2022-07-08 17:01:30.066933,11903
2022-07-08 17:01:30.068446,11744
2022-07-08 17:01:30.070134,11676
2022-07-08 17:01:30.071659,11620
2022-07-08 17:01:30.073072,11527
2022-07-08 17:01:30.074660,11277
2022-07-08 17:01:30.076177,11028
2022-07-08 17:01:30.077747,10985
2022-07-08 17:01:30.079224,11005
2022-07-08 17:01:30.080662,11028
2022-07-08 17:01:30.082198,11005
2022-07-08 17:01:30.083679,10804
2022-07-08 17:01:30.085066,10620
2022-07-08 17:01:30.086464,10615
2022-07-08 17:01:30.087850,10634
2022-07-08 17:01:30.089241,10615
2022-07-08 17:01:30.091644,10534
2022-07-08 17:01:30.093363,10389
2022-07-08 17:01:30.094855,10300
2022-07-08 17:01:30.096294,10287
2022-07-08 17:01:30.097654,10282
2022-07-08 17:01:30.099001,10257
2022-07-08 17:01:30.100623,10160
2022-07-08 17:01:30.102073,10106
2022-07-08 17:01:30.326072,10126
2022-07-08 17:01:30.328516,9940
2022-07-08 17:01:30.330531,9734
2022-07-08 17:01:30.332194,9795
2022-07-08 17:01:30.334052,9707
2022-07-08 17:01:30.336124,9419
2022-07-08 17:01:30.337968,9378
2022-07-08 17:01:30.340208,9351
2022-07-08 17:01:30.341782,9185
2022-07-08 17:01:30.343270,9176
2022-07-08 17:01:30.344960,9088
2022-07-08 17:01:30.346904,8818
2022-07-08 17:01:30.348476,8718
2022-07-08 17:01:30.349956,8725
2022-07-08 17:01:30.351564,8689
2022-07-08 17:01:30.353124,8648
2022-07-08 17:01:30.354569,8528
2022-07-08 17:01:30.356009,8381
2022-07-08 17:01:30.357819,8329
2022-07-08 17:01:30.360065,8304
2022-07-08 17:01:30.363395,8277
2022-07-08 17:01:30.365933,8238
2022-07-08 17:01:30.368030,8102
2022-07-08 17:01:30.369580,7968
2022-07-08 17:01:30.371052,7975
2022-07-08 17:01:30.372506,7968
2022-07-08 17:01:30.373964,7860
2022-07-08 17:01:30.375595,7748
2022-07-08 17:01:30.377370,7615
2022-07-08 17:01:30.379870,7492
2022-07-08 17:01:30.550788,7445
2022-07-08 17:01:30.553151,7408
2022-07-08 17:01:30.555241,7424
2022-07-08 17:01:30.556928,7381
2022-07-08 17:01:30.558555,7139
2022-07-08 17:01:30.560215,6980
2022-07-08 17:01:30.561742,7016
2022-07-08 17:01:30.563196,7001
2022-07-08 17:01:30.564768,6905
2022-07-08 17:01:30.566202,6790
2022-07-08 17:01:30.567624,6588
2022-07-08 17:01:30.569013,6420
2022-07-08 17:01:30.570590,6389
2022-07-08 17:01:30.572069,6370
