Time,ECG
2022-07-12 14:25:09.864225,12592
2022-07-12 14:25:09.867450,12606
2022-07-12 14:25:09.869007,12795
2022-07-12 14:25:09.870363,12979
2022-07-12 14:25:09.871696,12937
2022-07-12 14:25:09.873035,12937
2022-07-12 14:25:09.874618,13047
2022-07-12 14:25:09.876033,13161
2022-07-12 14:25:09.877490,13322
2022-07-12 14:25:09.879095,13478
2022-07-12 14:25:09.880611,13501
2022-07-12 14:25:09.882208,13466
2022-07-12 14:25:09.883625,13534
2022-07-12 14:25:09.885095,13637
2022-07-12 14:25:09.886487,13716
2022-07-12 14:25:09.887865,13793
2022-07-12 14:25:09.889281,13765
2022-07-12 14:25:09.890832,13695
2022-07-12 14:25:09.892289,13732
2022-07-12 14:25:09.893692,13795
2022-07-12 14:25:09.895100,13863
2022-07-12 14:25:09.896501,13940
2022-07-12 14:25:09.897928,13879
2022-07-12 14:25:09.901209,13774
2022-07-12 14:25:09.903659,13788
2022-07-12 14:25:09.905193,13826
2022-07-12 14:25:09.906667,13858
2022-07-12 14:25:09.908086,13889
2022-07-12 14:25:09.909474,13795
2022-07-12 14:25:09.910897,13702
2022-07-12 14:25:10.179200,13800
2022-07-12 14:25:10.180989,13844
2022-07-12 14:25:10.182376,13763
2022-07-12 14:25:10.183735,13758
2022-07-12 14:25:10.185089,13583
2022-07-12 14:25:10.186441,13313
2022-07-12 14:25:10.188020,13303
2022-07-12 14:25:10.189402,13345
2022-07-12 14:25:10.190839,13341
2022-07-12 14:25:10.192432,13345
2022-07-12 14:25:10.193973,13217
2022-07-12 14:25:10.195443,13068
2022-07-12 14:25:10.196844,13035
2022-07-12 14:25:10.198187,13028
2022-07-12 14:25:10.199562,13084
2022-07-12 14:25:10.200973,13047
2022-07-12 14:25:10.202299,12734
2022-07-12 14:25:10.204050,12529
2022-07-12 14:25:10.205584,12553
2022-07-12 14:25:10.207048,12513
2022-07-12 14:25:10.208441,12473
2022-07-12 14:25:10.209840,12441
2022-07-12 14:25:10.211530,12247
2022-07-12 14:25:10.212964,12096
2022-07-12 14:25:10.217026,12058
2022-07-12 14:25:10.220200,11960
2022-07-12 14:25:10.223344,11942
2022-07-12 14:25:10.226304,12112
2022-07-12 14:25:10.229008,12529
2022-07-12 14:25:10.231330,12947
2022-07-12 14:25:10.314078,12532
2022-07-12 14:25:10.315971,11660
2022-07-12 14:25:10.317397,11480
2022-07-12 14:25:10.318895,11461
2022-07-12 14:25:10.320284,11011
2022-07-12 14:25:10.321713,10776
2022-07-12 14:25:10.323262,10830
2022-07-12 14:25:10.324746,10797
