タイムスタンプ,?卷填写人/Answerer,VR世界的名字/VR world,??的??/Topic,共同参与者/Collaborators(Main&aux),???始??/StartTime,???束??/EndTime,愉悦?度（悲?-快?）/Valence Dimension (Unhappy-Happy)    效价?度表示情?的正面或者?面?度，1表示十分失望沮?悲?，5表示正常中性，9表示十分快??心,"激活?度（平静-激?）/Arousal Dimension (Calm-Excited)    激活?度代表中枢神?系?的一般激活程度,表??警?性和反?意愿等，1代表平静无反?，5表示普通水准，9表示十分激?警?性??",支配?度（?抑受控-自如自在）/Dominance Dimension (Contolled-Incontrol)    支配?度表示自己影?周?事物和?境的能力，1表示容易受?境影?受到了?抑，5表示正常，9表示感?自己能支配周?事物并影?他人,?烈激情的Excite-停滞无趣的Not Excite,???真的Serious-?松随意的Not Serious,柔和??的Smooth-??无?的Not Smooth,明朗?快的Bright-?暗??的Not Bright,令人安心的Eminent-感到不安的Not Eminent,?密?近的Close-立?不同的Not Close,?等的Equal-疏?的Not Equal
2022/07/11 1:34:59 午後 GMT+9,Yang,cinna,daily,"Yang,Mizukiyuta",14:12:05,14:14:05,5,5,5,3,3,3,3,3,3,3
2022/07/11 1:36:26 午後 GMT+9,Yang,cinna,daily,Yang，Mizukiyuta,14:20:12,14:25:12,5,5,5,4,3,4,3,3,4,4
2022/07/11 1:40:30 午後 GMT+9,Yang,cinna,research,"Yang,Mizukiyuta",14:29:00,14:31:00,7,7,5,2,4,2,2,4,3,1
2022/07/11 1:43:05 午後 GMT+9,Yang,Rain Room,feel lonely,Yang,14:35:30,14:38:30,3,2,4,3,3,3,3,3,3,3
2022/07/11 1:44:49 午後 GMT+9,Yang,Rain Room,read book,"Yang,Mizukiyuta",14:42:00,14:44:30,6,3,4,4,4,4,4,2,3,1
2022/07/11 1:48:12 午後 GMT+9,Yang,Rain Room,marriage necessary?,"Yang,Mizukiyuta",14:49:00,14:51:42,7,6,7,2,2,2,4,2,2,1
2022/07/11 1:51:04 午後 GMT+9,Yang,Water Park,Joy yourself,"Yang,Mizukiyuta",14:56:02,14:58:50,8,7,6,3,3,3,3,3,3,3
2022/07/11 1:53:24 午後 GMT+9,Yang,Water Park,"Travel, indoor/outdoor","Yang,Mizukiyuta",15:04:00,15:07:00,6,6,6,2,4,2,2,2,2,1
2022/07/11 1:57:53 午後 GMT+9,Yang,Blood Memory,Stay,Yang,15:12:00,15:14:30,3,7,3,3,3,3,3,3,3,3
2022/07/11 1:59:10 午後 GMT+9,Yang,Blood Memory,fear thing,"Yang,Mizukiyuta",15:15:52,15:16:45,7,7,6,3,4,2,2,4,2,1
